Name,Cost,Yearly
Kourou (GUF),3127202.4832418654,77652.73650616169
Sriharikota (IND),3127275.3013737337,77452.75535893702
Starbase (USA),3127492.629569117,76861.98266423747
Cape Canaveral (USA),3127552.4728536955,76700.88721287633
Vandenberg (USA),3127725.3511093664,76239.27699480491
Wallops (USA),3127822.2185233366,75983.04753073765
Taiyuan (CHN),3127855.3194660516,75895.88472851763
Mahia (NZL),3127869.0927846003,75859.6751321606
Baikonur (KAZ),3128110.999800134,75229.29528479892
Alaska (USA),3128596.218397431,73995.93997421252
