Point,Facility,Amount_t,Cost_USD
P1,Space Elevator,23743846.390110586,22119252555589.656
P1,Base_Kourou (GUF),7779163.982987374,14668027165893.96
P1,Base_Sriharikota (IND),7758199.544125184,14629050081161.379
P1,Base_Starbase (USA),7696282.343295469,14513933621378.77
P1,Base_Cape Canaveral (USA),7679402.222041729,14482550099943.818
P1,Base_Vandenberg (USA),7631042.299749768,14392639332418.604
P1,Base_Wallops (USA),7604204.665102888,14342742802083.125
P1,Base_Taiyuan (CHN),7595076.1373354215,14325771043257.852
P1,Base_Mahia (NZL),7591284.063138489,14318720818910.914
P1,Base_Baikonur (KAZ),7525280.63627028,14196007247677.54
P1,Base_Alaska (USA),7396217.715842796,13956053466018.762
P2,Space Elevator,29679807.987638235,27649065694487.074
P2,Base_Kourou (GUF),9723954.978734218,18335033957367.453
P2,Base_Sriharikota (IND),9697749.43015648,18286312601451.723
P2,Base_Starbase (USA),9620352.929119335,18142417026723.46
P2,Base_Cape Canaveral (USA),9599252.777552161,18103187624929.773
P2,Base_Vandenberg (USA),9538802.874687212,17990799165523.258
P2,Base_Wallops (USA),9505255.83137861,17928428502603.906
P2,Base_Taiyuan (CHN),9493845.171669278,17907213804072.316
P2,Base_Mahia (NZL),3140978.019064473,5924529628881.515
P2,Base_Baikonur (KAZ),0.0,0.0
P2,Base_Alaska (USA),0.0,0.0
P3,Space Elevator,47487692.78022117,44238505111179.31
P3,Base_Kourou (GUF),15558327.965974748,29336054331787.92
P3,Base_Sriharikota (IND),15516399.088250369,29258100162322.758
P3,Base_Starbase (USA),15392564.686590938,29027867242757.54
P3,Base_Cape Canaveral (USA),6045015.478962773,11400267494484.484
P3,Base_Vandenberg (USA),0.0,0.0
P3,Base_Wallops (USA),0.0,0.0
P3,Base_Taiyuan (CHN),0.0,0.0
P3,Base_Mahia (NZL),0.0,0.0
P3,Base_Baikonur (KAZ),0.0,0.0
P3,Base_Alaska (USA),0.0,0.0
P4,Space Elevator,99000000.0,92226253784872.86
P4,Base_Kourou (GUF),1000000.0,1885553151723.2664
P4,Base_Sriharikota (IND),0.0,0.0
P4,Base_Starbase (USA),0.0,0.0
P4,Base_Cape Canaveral (USA),0.0,0.0
P4,Base_Vandenberg (USA),0.0,0.0
P4,Base_Wallops (USA),0.0,0.0
P4,Base_Taiyuan (CHN),0.0,0.0
P4,Base_Mahia (NZL),0.0,0.0
P4,Base_Baikonur (KAZ),0.0,0.0
P4,Base_Alaska (USA),0.0,0.0
