Time_Years,Total_Cost_TrillionUSD
93.60981220266437,215.72817270463466
96.6465689207166,213.77267185772683
99.68332563876882,211.83613889454728
102.72008235682105,209.91942328719128
105.75683907487328,208.02223760969426
108.7935957929255,206.14359676876535
111.83035251097773,204.28385633775562
114.86710922902995,202.44272029138082
117.90386594708218,200.61971599741102
120.94062266513441,198.81471017871635
123.97737938318663,197.02760606827536
127.01413610123886,195.25822791910576
130.05089281929108,193.50644059610858
133.0876495373433,191.77210896418507
136.12440625539554,190.05516257977945
139.16116297344777,188.35542598594085
142.19791969149998,186.67273893002812
145.2346764095522,185.00696629043514
148.27143312760444,183.3579729455559
151.30818984565667,181.72570092481715
154.3449465637089,180.11008867599497
157.38170328176113,178.5108485196303
160.41845999981336,176.92784536930284
163.45521671786557,175.36094413859234
166.4919734359178,173.81000974107843
169.52873015397003,172.27490709034072
172.56548687202223,170.7556501608013
175.60224359007447,169.2521527405501
178.6390003081267,167.76407918968647
181.67575702617893,166.2912944768805
184.71251374423116,164.83366357080226
187.7492704622834,163.39105144012166
190.78602718033562,161.96332305350884
193.82278389838785,160.5503433796337
196.85954061644006,159.15197738716643
199.8962973344923,157.7681109121554
202.9330540525445,156.39866718681867
205.96981077059672,155.04343136722156
209.00656748864895,153.7022684384217
212.0433242067012,152.37504338547657
215.08008092475342,151.06162119344378
218.11683764280565,149.76186684738082
221.15359436085788,148.47564533234524
224.1903510789101,147.20282163339462
227.22710779696234,145.94326073558648
230.26386451501457,144.69682762397832
233.30062123306675,143.46338728362772
236.33737795111898,142.24280469959228
239.3741346691712,141.03504764651498
242.41089138722344,139.84006686552704
245.44764810527568,138.65753716003965
248.4844048233279,137.4873235648624
251.52116154138014,136.32929111480482
254.55791825943237,135.18330484467637
257.5946749774846,134.04922978928667
260.63143169553683,132.92693098344526
263.66818841358906,131.81627346196154
266.70494513164124,130.7171222596452
269.74170184969347,129.6293424113057
272.7784585677457,128.55279895175252
275.81521528579793,127.48735691579527
278.85197200385016,126.43288133824349
281.8887287219024,125.38923725390667
284.9254854399546,124.35628969759436
287.96224215800686,123.33390370411611
290.9989988760591,122.3219443082814
294.0357555941113,121.32027654489983
297.0725123121635,120.32876830360412
300.1092690302157,119.34735386978434
303.14602574826796,118.37582590107021
306.1827824663202,117.41404944564567
309.2195391843724,116.46188955169461
312.25629590242465,115.51921126740086
315.2930526204769,114.5858796409484
318.3298093385291,113.66175972052119
321.36656605658135,112.74671655430295
324.4033227746336,111.84061519047776
327.4400794926858,110.94332067722942
330.476836210738,110.05469806274189
333.5135929287902,109.17461239519898
336.55034964684245,108.30292872278469
339.5871063648947,107.43951209368286
342.6238630829469,106.58422755607744
345.66061980099914,105.7369401581523
348.6973765190514,104.89751494809133
351.7341332371036,104.06581697407846
354.77088995515584,103.2417112842976
357.80764667320807,102.42506292693258
360.8444033912603,101.61573695016739
363.88116010931253,100.81359840218586
366.91791682736476,100.01851233117193
369.95467354541694,99.23034378530954
372.99143026346917,98.4489578127825
376.0281869815214,97.6742194617748
379.06494369957363,96.90599378047027
382.10170041762586,96.14414581705284
385.1384571356781,95.38854061970642
388.1752138537303,94.6390432366149
391.21197057178256,93.89551871596218
394.2487272898348,93.15783210593217
